Year,Subject,Total
2005,Data Structures,12
2005,Digital Logic,2
2005,Math,17
2005,OS,9
2005,Programming,5
2006,Data Structures,18
2006,Digital Logic,5
2006,Math,17
2006,OS,10
2006,Programming,5
2007,Data Structures,12
2007,Digital Logic,6
2007,Math,17
2007,OS,8
2007,Programming,5
2008,Data Structures,12
2008,Digital Logic,3
2008,Math,15
2008,OS,9
2008,Programming,7
2009,Data Structures,17
2009,Digital Logic,3
2009,Math,16
2009,OS,9
2009,Programming,7
2010,Data Structures,16
2010,Digital Logic,6
2010,Math,19
2010,OS,7
2010,Programming,5
2011,Data Structures,13
2011,Digital Logic,5
2011,Math,19
2011,OS,7
2011,Programming,7
2012,Data Structures,17
2012,Digital Logic,4
2012,Math,16
2012,OS,9
2012,Programming,6
2013,Data Structures,17
2013,Digital Logic,5
2013,Math,15
2013,OS,8
2013,Programming,6
2014,Data Structures,19
2014,Digital Logic,5
2014,Math,19
2014,OS,8
2014,Programming,6
2015,Data Structures,13
2015,Digital Logic,3
2015,Math,17
2015,OS,7
2015,Programming,6
2016,Data Structures,13
2016,Digital Logic,3
2016,Math,16
2016,OS,9
2016,Programming,6
2017,Data Structures,13
2017,Digital Logic,5
2017,Math,17
2017,OS,8
2017,Programming,6
2018,Data Structures,15
2018,Digital Logic,4
2018,Math,19
2018,OS,9
2018,Programming,7
2019,Data Structures,12
2019,Digital Logic,5
2019,Math,16
2019,OS,8
2019,Programming,7
2020,Data Structures,12
2020,Digital Logic,4
2020,Math,17
2020,OS,10
2020,Programming,7
2021,Data Structures,8
2021,Digital Logic,4
2021,Math,17
2021,OS,5
2021,Programming,3
